2025-05-28 20:48:29.444 [main] INFO  c.m.smartmine.kv.biz.smartmineKVBizApplication - Starting smartmineKVBizApplication using Java 17.0.15 with PID 10132 (C:\Users\Administrator\Desktop\javacode\smartmine\smartmine-kv\smartmine-kv-biz\target\classes started by Administrator in C:\Users\Administrator\Desktop\javacode\smartmine)
2025-05-28 20:48:29.450 [main] INFO  c.m.smartmine.kv.biz.smartmineKVBizApplication - The following 1 profile is active: "dev"
2025-05-28 20:48:30.823 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Cassandra repositories in DEFAULT mode.
2025-05-28 20:48:31.053 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 221 ms. Found 0 Reactive Cassandra repository interfaces.
2025-05-28 20:48:31.063 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Cassandra repositories in DEFAULT mode.
2025-05-28 20:48:31.091 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 1 Cassandra repository interfaces.
2025-05-28 20:48:31.456 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=c6eeab77-849a-3eab-8c17-160d0b381eab
2025-05-28 20:48:31.508 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.muying.smartmine.kv.api.KeyValueFeignApi' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-05-28 20:48:32.067 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
2025-05-28 20:48:32.087 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-28 20:48:32.087 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-05-28 20:48:32.262 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-28 20:48:32.263 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2704 ms
2025-05-28 20:48:32.813 [main] INFO  c.d.o.driver.internal.core.DefaultMavenCoordinates - DataStax Java driver for Apache Cassandra(R) (com.datastax.oss:java-driver-core) version 4.15.0
2025-05-28 20:48:33.491 [s0-admin-0] INFO  com.datastax.oss.driver.internal.core.time.Clock - Using native clock for microsecond precision
2025-05-28 20:48:34.206 [s1-admin-0] INFO  com.datastax.oss.driver.internal.core.time.Clock - Using native clock for microsecond precision
2025-05-28 20:48:35.930 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-05-28 20:48:36.063 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
2025-05-28 20:48:36.508 [main] INFO  c.m.smartmine.kv.biz.smartmineKVBizApplication - Started smartmineKVBizApplication in 8.953 seconds (process running for 10.535)
2025-05-28 20:55:25.045 [main] INFO  c.m.smartmine.kv.biz.smartmineKVBizApplication - Starting smartmineKVBizApplication using Java 17.0.15 with PID 11616 (C:\Users\Administrator\Desktop\javacode\smartmine\smartmine-kv\smartmine-kv-biz\target\classes started by Administrator in C:\Users\Administrator\Desktop\javacode\smartmine)
2025-05-28 20:55:25.050 [main] INFO  c.m.smartmine.kv.biz.smartmineKVBizApplication - The following 1 profile is active: "dev"
2025-05-28 20:55:26.213 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Cassandra repositories in DEFAULT mode.
2025-05-28 20:55:26.428 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 208 ms. Found 0 Reactive Cassandra repository interfaces.
2025-05-28 20:55:26.437 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Cassandra repositories in DEFAULT mode.
2025-05-28 20:55:26.466 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 1 Cassandra repository interfaces.
2025-05-28 20:55:26.829 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=c6eeab77-849a-3eab-8c17-160d0b381eab
2025-05-28 20:55:26.873 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.muying.smartmine.kv.api.KeyValueFeignApi' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-05-28 20:55:27.480 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
2025-05-28 20:55:27.500 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-28 20:55:27.500 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-05-28 20:55:27.695 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-28 20:55:27.695 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2542 ms
